timestamp,co2,temperature,humidity,pressure
2020-02-29 02:50:56,464,0,0,0
2020-02-29 02:51:04,0,25.12,27.34,100306
2020-02-29 02:51:56,464,0,0,0
2020-02-29 02:52:05,0,25.12,27.34,100306
2020-02-29 02:53:06,0,25.12,27.34,100306
2020-02-29 02:53:56,464,0,0,0
2020-02-29 02:54:07,0,25.12,27.34,100304
2020-02-29 02:54:56,468,0,0,0
2020-02-29 02:55:07,0,25.12,27.34,100304
2020-02-29 02:56:08,0,25.12,27.35,100303
2020-02-29 02:56:56,468,0,0,0
2020-02-29 02:57:09,0,25.12,27.35,100303
2020-02-29 02:58:10,0,25.12,27.35,100305
2020-02-29 02:59:11,0,25.12,27.35,100309
2020-02-29 02:59:56,468,0,0,0
2020-02-29 03:00:12,0,25.12,27.36,100309
2020-02-29 03:00:56,468,0,0,0
2020-02-29 03:01:13,0,25.11,27.36,100307
2020-02-29 03:02:15,0,25.12,27.36,100307
2020-02-29 03:02:57,466,0,0,0
2020-02-29 03:03:16,0,25.11,27.34,100307
2020-02-29 03:04:17,0,25.12,27.33,100308
2020-02-29 03:04:57,462,0,0,0
2020-02-29 03:05:18,0,25.11,27.33,100306
2020-02-29 03:05:56,457,0,0,0
2020-02-29 03:06:19,0,25.12,27.35,100309
2020-02-29 03:06:56,456,0,0,0
2020-02-29 03:07:20,0,25.12,27.35,100306
2020-02-29 03:07:56,456,0,0,0
2020-02-29 03:08:20,0,25.12,27.35,100315
2020-02-29 03:08:56,458,0,0,0
2020-02-29 03:09:21,0,25.12,27.35,100308
2020-02-29 03:09:56,460,0,0,0
2020-02-29 03:10:22,0,25.11,27.35,100312
2020-02-29 03:10:56,462,0,0,0
2020-02-29 03:11:23,0,25.11,27.35,100308
2020-02-29 03:11:56,464,0,0,0
2020-02-29 03:12:24,0,25.1,27.36,100305
2020-02-29 03:12:56,464,0,0,0
2020-02-29 03:13:25,0,25.1,27.35,100302
2020-02-29 03:13:57,461,0,0,0
2020-02-29 03:14:27,0,25.1,27.35,100302
2020-02-29 03:14:57,456,0,0,0
2020-02-29 03:15:28,0,25.1,27.35,100302
2020-02-29 03:15:57,456,0,0,0
2020-02-29 03:16:29,0,25.1,27.35,100298
2020-02-29 03:16:57,455,0,0,0
2020-02-29 03:17:30,0,25.1,27.35,100298
2020-02-29 03:17:57,455,0,0,0
2020-02-29 03:18:31,0,25.1,27.35,100298
2020-02-29 03:18:57,455,0,0,0
2020-02-29 03:19:32,0,25.1,27.36,100295
2020-02-29 03:19:57,457,0,0,0
2020-02-29 03:20:33,0,25.1,27.36,100292
2020-02-29 03:20:57,458,0,0,0
2020-02-29 03:21:33,0,25.1,27.36,100292
2020-02-29 03:21:57,458,0,0,0
2020-02-29 03:22:34,0,25.1,27.36,100292
2020-02-29 03:23:35,0,25.1,27.36,100289
2020-02-29 03:23:57,458,0,0,0
2020-02-29 03:24:36,0,25.1,27.36,100287
2020-02-29 03:24:57,458,0,0,0
2020-02-29 03:25:37,0,25.1,27.35,100285
2020-02-29 03:25:57,454,0,0,0
2020-02-29 03:26:38,0,25.1,27.34,100285
2020-02-29 03:27:40,0,25.1,27.34,100285
2020-02-29 03:27:58,453,0,0,0
2020-02-29 03:28:41,0,25.11,27.33,100285
2020-02-29 03:28:58,453,0,0,0
2020-02-29 03:29:42,0,25.11,27.34,100284
2020-02-29 03:29:58,454,0,0,0
2020-02-29 03:30:43,0,25.11,27.33,100284
2020-02-29 03:30:58,454,0,0,0
2020-02-29 03:31:44,0,25.1,27.34,100282
2020-02-29 03:31:58,455,0,0,0
